ID #,Name,Date,Venue,State,Region,namest,Party,Honesty,Status,CatThink,ComplexThink,CogProcess,PsychDistance,Year,StartedCongress,YrsInCongress,WordCount
336,Lautenberg,5/22/1998,Senate,NJ,Iran,LautenbergNJ,D,-1.059803,-1.194132,2.470571,-2.38297,-1.310989,3.547707,1998,1982-2000,16,566
337,Boxer,5/22/1998,Senate,CA,Iran,BoxerCA,D,4.422222,-2.297722,0.913198,-0.562831,-0.128884,1.50169,1998,1993,5,280
338,Snowe,5/22/1998,Senate,ME,Iran,SnoweME,R,1.472822,-1.408432,1.293436,0.893063,-0.927094,1.629148,1998,1979,19,715
355,Byrd,10/7/2002,Senate,WV,Iraq,ByrdWV,D,0.851432,0.772614,0.784714,1.761189,1.922681,1.49392,2002,1959,43,1798
356,Warner,10/7/2002,Senate,VA,Iraq,WarnerVA,R,4.926158,-2.684696,0.920138,0.74958,0.738951,-0.357266,2002,1979,23,4209
357,Cleland,10/7/2002,Senate,GA,Iraq,ClelandGA,D,1.934469,-0.857406,0.577507,1.112268,1.602831,0.508902,2002,1997,5,1432
358,Bennett,10/7/2002,Senate,UT,Iraq,BennettUT,R,3.44875,-1.635041,-1.469533,3.349082,2.481179,0.033025,2002,1993,9,1972
359,Kyl,10/7/2002,Senate,AZ,Iraq,KylAZ,R,3.38908,0.136679,0.191267,2.227195,1.795227,1.45983,2002,1995,7,3588
360,Domenici,10/7/2002,Senate,NM,Iraq,DomeniciNM,R,6.699998,-3.785896,-0.819475,5.069826,4.050338,-6.003895,2002,1973,29,175
361,Allen,10/7/2002,Senate,VA,Iraq,AllenVA,R,6.234065,-0.957978,2.213475,3.686536,2.199178,2.597439,2002,2001,1,2284
362,Stevens,10/7/2002,Senate,AK,Iraq,StevensAK,D,0.744206,0.054932,-1.420299,-1.220721,0.317935,-0.607519,2002,1968,34,2341
363,Hatch,10/7/2002,Senate,UT,Iraq,HatchUT,R,3.816232,-0.279427,1.317917,2.247587,1.104818,1.291544,2002,1977,25,3082
364,Nelson,10/7/2002,Senate,NE,Iraq,NelsonNE,D,1.513057,-0.719585,1.899028,-0.83187,0.360877,2.156448,2002,2001,1,2583
