"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"2590",1212,"Russia","Schwartz",1,"5/5/2008","House","Purity",1,0.0325
"2603",1542,"Iraq","Serrano",1,"10/9/2002","House","Purity",1,0.0109
"2616",48,"Russia","Shaheen",1,"2/16/2012","Senate","Purity",1,0.0077
"2633",1096,"Iran","Sherman",1,"1/18/2007","House","Purity",1,0.0164
"2635",1400,"Iran","Sherman",1,"3/6/2007","House Hearings","Purity",2,0.025
"2639",1382,"Iran","Sherman",1,"3/15/2007","House Hearings","Purity",1,0.0048
"2644",1182,"Iran","Sherman",1,"7/9/2008","House Hearings","Purity",1,0.0104
"2650",1962,"Russia","Sherman",1,"11/9/2008","House Hearings","Purity",1,0.0144
"2663",1982,"Russia","Sherman",1,"7/7/2011","House Hearings","Purity",2,0.0555
"2669",1925,"Russia","Sherman",1,"10/6/1999","House Hearings","Purity",1,0.0375
"2716",1789,"Iran","Stark",1,"9/28/2006","House","Purity",1,0.0413
"2759",1125,"Iraq","UdallNM",1,"10/1/2002","House","Purity",1,0.0136
"2774",1607,"Iran","Van Hollen",1,"10/13/2009","House","Purity",2,0.0956
"2801",1261,"Iraq","Watson",1,"10/9/2002","House","Purity",2,0.0337
"2805",1910,"Sudan","Watson",1,"6/22/2005","House Hearings","Purity",1,0.0688
"2809",1219,"Sudan","Watson",1,"11/1/2005","House Hearings","Purity",1,0.01
"2814",1887,"Sudan","Watson",1,"11/1/2005","House Hearings","Purity",2,0.0089
"2824",1210,"Russia","Watson",1,"5/5/2008","House","Purity",2,0.0315
"2828",1964,"Russia","Watson",1,"11/9/2008","House Hearings","Purity",1,0.0245
"2845",451,"Russia","Wellstone",1,"2/8/2000","Senate","Purity",1,0.0099
"2850",452,"Russia","Wellstone",1,"2/23/2000","Senate","Purity",1,0.008
"2858",2164,"Iraq","Wellstone",1,"3/22/2000","Senate Hearings","Purity",7,0.0317
"2863",454,"Russia","Wellstone",1,"6/21/2000","Senate","Purity",4,0.0491
"2868",453,"Russia","Wellstone",1,"7/21/2000","Senate","Purity",3,0.0335
"2872",2174,"Iraq","Wellstone",1,"3/1/2001","Senate Hearings","Purity",1,0.0051
"2879",455,"Iraq","Wellstone",1,"10/3/2002","Senate","Purity",1,0.0065
"2887",457,"Kosovo","Wellstone",1,"9/23/1998","Senate","Purity",1,0.0067
"2892",456,"Kosovo","Wellstone",1,"10/8/1998","Senate","Purity",2,0.0154
"2896",2274,"Russia","Wellstone",1,"11/4/1999","Senate Hearings","Purity",1,0.0321
"2899",1188,"Libya","WilsonFL",1,"3/31/2011","House Hearings","Purity",1,0.0569
"2902",1618,"Afghanistan","Woolsey",1,"9/14/2001","House","Purity",1,0.053
"2910",1189,"Iran","Woolsey",1,"7/9/2008","House Hearings","Purity",1,0.0325
"2920",1728,"Afghanistan","Wu",1,"9/14/2001","House","Purity",1,0.0307
"2925",1556,"Iraq","Wu",1,"10/9/2002","House","Purity",1,0.0121
"2970",361,"Iraq","AllenVA",0,"10/7/2002","Senate","Purity",1,0.0039
"2977",351,"Syria","AllenVA",0,"11/11/2003","Senate","Purity",1,0.0064
"2979",2370,"North Korea","AllenVA",0,"7/20/2006","Senate Hearings","Purity",1,0.0146
"2987",1435,"Iraq","Armey",0,"10/10/2002","House","Purity",2,0.0146
"3006",467,"Iran","Bartlett",0,"7/10/2008","House","Purity",3,0.0046
"3037",1451,"Iraq","BilirakisM",0,"10/10/2002","House","Purity",1,0.0254
"3071",22,"Iraq","Bond",0,"1/29/2003","Senate","Purity",1,0.0054
"3081",2269,"Russia","Bonner",0,"11/4/1999","Senate Hearings","Purity",1,0.0148
"3091",769,"Iraq","Brady",0,"3/19/2003","House","Purity",1,0.005
"3094",568,"Syria","Brooks",0,"9/11/2013","House","Purity",1,0.0197
"3120",508,"Iraq","Brownback",0,"10/7/2002","Senate","Purity",2,0.0075
"3141",2470,"Sudan","Brownback",0,"9/9/2004","Senate Hearings","Purity",1,0.0082
"3156",34,"Sudan","Brownback",0,"3/1/2005","Senate","Purity",1,0.0079
